concept,concept_id
シノニム,Q1040689
映画,Q11424
Q11436,Q11436
ダンス,Q11639
軍用車両,Q1184840
ダム,Q12323
政治イデオロギー,Q12909644
貯水池,Q131681
祭,Q132241
スポーツ競技大会,Q13406554
自転車レース,Q15091377
水域,Q15324
映画の登場人物,Q15773347
プロスポーツリーグ,Q15991290
タクソン,Q16521
アプリケーションソフトウェア,Q166142
流域,Q166620
None JP Label,Q16861376
武装組織,Q17149090
天体の種類,Q17444909
映画製作会社,Q1762059
軍隊の構成単位,Q176799
軍装備品,Q18643213
音楽のジャンル,Q188451
コマンド,Q2008856
スポーツ選手,Q2066131
出版社,Q2085381
音楽作品,Q2188189
文学作品のジャンル,Q223393
Q23764314,Q23764314
渦巻銀河,Q2488
スポーツシーズン,Q27020041
政治的立場,Q28819924
大統領,Q30461
言語,Q34770
スポーツ,Q349
流路,Q355304
小惑星,Q3863
宇宙機,Q40218
選挙,Q40231
民族,Q41710
組織内の階級,Q4189293
組織,Q43229
スポーツ組織,Q4438121
山脈,Q46831
Q47461344,Q47461344
著作物,Q47461344
アルバム,Q482994
Q4830453,Q4830453
ジャンル,Q483394
領域,Q4835091
ヒト,Q5
Q500834,Q500834
都市,Q515
コンピュータ・モデル,Q55990535
軍隊の階級,Q56019
本,Q571
宇宙飛行,Q5916
賞,Q618779
Q623109,Q623109
国,Q6256
観測所,Q62832
コンピュータ,Q68
業界誌,Q685935
政党,Q7278
芸術,Q735
声,Q7390
ソフトウェア,Q7397
Q7432,Q7432
文学作品,Q7725634
文学,Q8242
保全状況,Q82673
Q82794,Q82794
地域,Q82794
スポーツクラブ,Q847017
山,Q8502
星座,Q8928
オペレーティングシステム,Q9135
宗教,Q9174
架空のキャラクター,Q95074
